origin_membership,eligible_relations,t0_accepted,t1_accepted,t1b_accepted,t2_accepted,t2_no_rule,t1b_rejections,t1b_parse_failures,threshold_mean,threshold_median,tolerance_mean,tolerance_median,noise_mean,noise_median
META,28,28,28,28,28,0,0,1,0.7120383589758063,0.705527687023047,1.03854144137894,0.3315888096245502,13.371611559537934,0.971869695496612
STAT,32,32,32,32,30,2,2,1,0.6243080960537505,0.598414372942047,1.0315033224607042,0.49035418075741677,50.95873133716461,0.9840535741175774
GDN,5,5,5,5,3,2,1,0,0.5734367607846671,0.4997248486667665,2.7531973564875076,1.0011006053329343,40.0752275593522,25.53734135645314
